"","Point est.","Upper C.I."
"a[1]",1.00746919191768,1.02669163633515
"a[2]",1.00701925729051,1.02489229590927
"b[1]",1.00099652588735,1.00314909447653
"b[2]",1.00018971373958,1.00042186353488
"b[3]",1.00075960262647,1.00287931341686
"b[4]",1.0051301344355,1.01864047779952
"b[5]",1.00723363062368,1.02610358278741
"sigma_b",1.19216439959923,1.55872070229959
"sigma_eps",0.999957649567822,0.999967314857386
"u[1]",1.0072891025183,1.02604725192066
"u[2]",1.00719996577267,1.02579465496572
"u[3]",1.00250656592412,1.00890485434613
"u[4]",1.00368724718086,1.01321059419872
"u[5]",1.00549155281528,1.01920877319216
