"","2.5%","25%","50%","75%","97.5%"
"a[1]",-7.90516338154991,42.0010312873883,58.5276010169648,76.1306831436026,134.376564902716
"a[2]",-39.7175288316082,-21.0937966468416,-15.4549509922807,-10.4329277529373,4.03838749566991
"b[1]",-1.51628113503888,-0.498841598916632,-0.0600668771256737,0.426894365569693,1.74093530840414
"b[2]",-2.38140486255449,0.507311813593133,1.60691797259809,2.66131268115521,5.07524956280952
"b[3]",-5.73442885496157,-3.0191799223644,-1.78038441294861,-0.539541287617704,2.37732513669361
"b[4]",-4.90607799357642,-1.66479652042061,-0.51937502823241,0.554243441760504,3.29046301977082
"b[5]",-1.56251331411129,-0.0564267642032877,0.438729593024587,0.968614660041445,2.61356478597323
"sigma_b",-9.47749160410965,-3.52491141865561,-1.44909563152957,3.46745504436534,9.45031682311799
"sigma_eps",2.96245360097486,3.44316981160333,3.75739565487669,4.11485248635023,4.98109720402401
"u[1]",-5.29589311177451,-1.79125198222755,-0.704936710043829,0.31042682862781,3.35323096165708
"u[2]",-3.38270044306664,1.42863699512379,2.97829374505427,4.61188227462935,9.28669221584362
"u[3]",-6.32943778586219,-1.8246672384692,0.00551041256474454,2.01455296145602,7.64629375451379
"u[4]",-3.11425820226502,-0.319538698161722,0.943754930759969,2.33893873416454,5.95838499581982
"u[5]",-0.743600107326581,1.87246819813022,2.94031544653954,4.16503421393239,7.80812994854928
